,index,ID,Description,HA
0,0,AMEL0001,teach delivery taught weekly hittite old attest indo european thoroughly embed cuneiform world bronze age middle east consists hittite grammar cuneiform script reading original hittite cuneiform remain end acquire knowledge basic hittite grammar mastery essential hittite vocabulary competence reading easy cuneiform hittite acquire competence interpretation cuneiform acquire fundamental legacy ancient anatolia appropriate knowledge philological methodological hittitologists engage skill end fheq level pgt fheq level beal hittite anatolia handbook ancient anatolia steadman macmahon beckman hittite recovery grammatical sketch handbook ancient anatolia steadman macmahon introductory hittite run biennially rotates hittite alternate acquire knowledge basic hittite grammar mastery essential hittite vocabulary competence reading easy cuneiform hittitehave acquire competence interpretation cuneiform studiedhave sound knowledge relevant reference grammar dictionary hittite languagehave developed methodological relevant anatolian philologyhave fundamental legacy ancient anatolia demonstrate grammar orally writinghave acquire knowledge hittite grammar mastery hittite vocabulary competence reading type cuneiform hittite multiple duplicate manuscriptshave acquire competence interpretation cuneiform familiarity methodological approach interpretation textual passageshave sound knowledge relevant reference grammar dictionary hittite critically developed methodological relevant anatolian philology conduct ancient anatolia independently critically fundamental legacy ancient anatolia situate demonstrate grammar orally,13
1,1,AMEL0002,teach delivery taught weekly hittite old attest indo european thoroughly embed cuneiform world bronze age middle east consists hittite grammar cuneiform script reading original hittite cuneiform remain end acquire knowledge basic hittite grammar mastery essential hittite vocabulary competence reading easy cuneiform hittite acquire competence interpretation cuneiform acquire fundamental legacy ancient anatolia appropriate knowledge philological methodological hittitologists engage skill end beal hittite anatolia handbook ancient anatolia steadman macmahon beckman hittite recovery grammatical sketch handbook ancient anatolia steadman macmahon acquire knowledge hittite grammar mastery hittite vocabulary competence reading type cuneiform hittite multiple duplicate manuscriptshave acquire competence interpretation cuneiform familiarity methodological approach interpretation textual passageshave sound knowledge relevant reference grammar dictionary hittite critically developed methodological relevant anatolian philology conduct ancient anatolia independently critically fundamental legacy ancient anatolia situate contextbe demonstrate grammar orally,13
2,2,AMER0002,begin epistemological framing society environment interaction broadly construe positivism structuralism constructionism set critical realist ontology nature help specify refer speak nature society development sustainability relate attention turn emergence institutionalisation sustainable development challenge sustainability discourse represent post development american construct buen vivir investigation environmental movement policy lac seek illuminate key claim maker claim claim process emerge response perceive environmental deterioration deprivation result new organisation environmental governance indicative topicsthe variation depend development end teach deliverythe deliver mixture attendance relevant event amer facebook act ongoing forum asynchronous discussion submission expect article preparat ion devote lead think nature societydevelopment sustainable development post development global discourse lac experience agri culture lacforests forestry forest people lacextractivism sustainability lacecotourism sustainable development lacnatural hazard human disaster lacexplain relevance relationship distinct approach sustainable development ass critically claim counter claim relation sustainability discus insight distinct discourse development sustainability post development global regional national local level inform relevant contribution american caribbean environmental policy debate undertake independent work successfully present finding orally,13
3,3,AMER0007,examines long process democratization america key analytic theme national experience individual country case argentina bolivia brazil chile salvador mexico nicaragua venezuela principal empirical consideration analyzes historically significant process democratic regime change swept america late early reading identify debate democracy define indeterminance transition process forth distinguish regime change especially actor centre versus structural democratization domestic international force contribute breakdown authoritarian regime subsequent transition democracy number country material set stage examination individual country experience role particular actor party arm force roman catholic church labour union human right movement forth democratic transition highlight multiple challenge face american democracy reading basis thematic investigation role party representation movement indigenous movement struggle citizenship right international dimension democratization region assess character democracy america examine change role force left right spectrum reading section analyze recent development brazil chile mexico venezuela,13
4,4,AMER0009,examines economic growth development implication american economic development particular identifies possible explanation current level economic development region explore relationship global economic process explore relationship globalisation economic development examine evolution process globalisation effect impact derstanding development discus difference economic growth economic development finally exchange view relationship institution economic development particular investigate quality institution explains development gap country explore link global domestic process trans formation examine effect migration flow regional development discus recent pattern urbanisation region discussion allow rethink like informality security gender development fourth willconsider link multiculturalism development finally explore challenge climate change regional development,13
5,5,AMER0010,examines american foreign policy process influence foreign policy government act confront foreign policy emphasis domestic foreign policy international relation generally approach adopt inform main tenet foreign policy fpa begin domestic influence president administration formulate execute foreign policy reference current crisis north korea development nuclear missile case relevant factor attitude president bureaucratic compete view foreign policy bureaucracy state defense national security advisor role intelligence community congress influential body think tank opinion party public opinion role briefly examine main paradigm international relation attempt classify explain interaction state actor world stage necessarily involve foreign policy process realism marxism liberal internationalism constructivism explore light shed relationship domestic foreign policy bulk onwards consists series case drawn significant event modern foreign policy cold war start domestic involve american war event signal america emergence world power examine theodore roosevelt acquisition panama canal united state woodrow wilson recommend american entry world war subsequent reject membership league nation franklin roosevelt foreign policy outbreak world war especially military aid britain lend lease act half reading presidential early middle phase cold war discus domestic consideration influence truman doctrine mccarthyism intervention korean war eisenhower suez crisis kennedy bay pig invasion cuban missile crisis johnson escalation retreat vietnam finally nixon ford policy vietnam war particular reference nixon visit china ford visit,13
6,6,AMER0011,period present day examines key event shape modern caribbean victory cuban revolution recent climate related disaster highlight extreme vulnerability region caribbean small state offer perspective society development country case measure mile clearly face challenge vast expanse south america case similar pressure struggle caribbean sovereignty place caribbean global economic colonial neo colonial relation europe united state legacy diverse racial heritage complex relation ethnicity power challenge development region sharp end globalisation rich texture caribbean culture influence felt new york kingston port prince draw rich debate emerge region emphasise specifically caribbean approach hand main culture caribbean anglophone francophone hispanic flexible format combine case thematic approach,13
7,7,AMER0012,considers end cold war bipolar world dominate soviet union affected american foreign policy begin brief review reagan presidency end cold war reagan legacy post cold war foreign policy foreign policy post cold war president especially relation russia presidency george bush examine new world dissolution soviet union formation coalition willing saddam hussein discuss clinton foreign policy notion democratic enlargement eastern europe balkan examine presidency george bush bush doctrine war terror impact iraq syria discus contrast foreign policy barack obama donald trump reference notion american decline half arise major geo region foreign policy strategy end cold war policy britain europe notion anglo american special relationship legacy monroe doctrine relation cuba rest america relationship israel quest middle east peace settlement involve palestinian arab state relation china american pivot asia pacific finally policy africa end cold war particular reference reason relative neglect region recently impact trump presidency policy region future direction foreign policy discuss,13
8,8,AMER0013,development caribbean society crucial capitalism imperialism race development mass movement people product shape modern world black republic america development revolutionary socialist state america examines emergence caribbean nationhood region experienced globalisation multi culturalism long come vogue begin cataclysmic event haitian revolution early examine caribbean society slavery plantation economy colonialism resistance colonialism labour migration race development creole society half explores development region half emergence united state dominant external player region impact garveyism labour rebellion anti colonial struggle colony british west indie entrenchment authoritarian regime haiti dominican republic lastly dramatic emergence development cuban revolution broadly thematic approach allows consideration main area region anglophone hispanic introduces key debate scholarship caribbean seminal caribbean scholarship primary source emphasise strongly caribbean approach hand,13
9,9,AMER0014,comprehensive human right america introduces principal analytical debate human right process democratization examines development conception right citizenship democracy region human right america explores institutional dimension related promotion protection human right region ass nature multi faceted human right challenge region particularly relate historically vulnerable employ thematic comparative approach case examine principal analytical debate inter disciplinary draw law sociology anthropology actively develop cause human right violation effectiveness policy intervention strategy advance protection promotion human right,13
